time,timestep,maxtimestep,icao24,outliers,callsign,heading,baroaltitude,lat,lon,velocity,vertratecorr,baroaltitudeanalysis,dbaroaltitudeanalysis,tasanalysis,dtasanalysis,baroaltitudekalman,taskalman,segment,modeltype,operator,ukalman,vkalman,tempkalman,temp_surfacekalman,temp1000kalman,temp2000kalman,temp3000kalman,temp4000kalman,temp5000kalman,temp6000kalman,temp7000kalman,temp8000kalman,temp9000kalman,temp10000kalman,temp11000kalman,tempanalysis,target_cas1,target_cas2,target_Mach,mseSpeed,n_cas1,n_cas2,n_mach,fromICAO,toICAO,distance_from_dep,trip_distance,massPast,mseEnergyRatePast,massFutur,mseEnergyRateFutur,u,v,temp,tas
1506645061,0,795,19,0.00388601036269,252,171.064571031,2852.76976869,-27.7623702389,151.811324926,131.232767241,6.95043122927,2845.41424556,7.76255179057,127.064153474,0.10766964367,2852.73865735,126.831749226,18847,2,1,19.0914650965,-2.80208777215,281.45013162,301.229437187,274.167525461,268.660132674,261.729314322,254.723709713,248.907516642,242.449245067,235.061185519,227.411738112,220.039787524,212.337853603,206.237250619,281.507697849,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,,,28435,7.70789,19.0916051329,-2.80194395105,281.449887192,126.844760315
1506645076,15,795,19,0.00388601036269,252,173.251892646,2961.48700773,-27.7795666063,151.814052043,132.156449141,7.5013811441,2962.3173073,7.85270321453,128.647666727,0.100510693099,2953.68826637,128.217988566,18847,2,1,19.6227403784,-2.32997531387,280.647962517,301.199100754,273.578872181,267.985573043,260.948799666,254.077560683,248.355673296,241.773162558,234.296389733,226.621721621,219.208371982,211.631400153,205.830056603,280.580937476,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,,,28516.9,7.57455,19.6580631434,-2.29373931797,280.587384142,129.013267231
1506645091,30,795,19,0.00388601036269,252,174.422394893,3078.05872023,-27.7976725123,151.816151478,132.324157266,8.28157269816,3081.58673681,8.03497102619,129.986357683,0.0783129982453,3065.87396931,129.911149215,18847,2,1,20.0694454199,-1.8955464474,279.750013034,301.1659363,272.934471328,267.221257568,260.090574302,253.370328376,247.749380573,241.031270903,233.459287506,225.75872253,218.300515496,210.85984172,205.385473292,279.624325233,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,,,28609.1,7.3545,20.0907005492,-1.86135269448,279.652528412,130.037436369
1506645106,45,795,19,0.00388601036269,252,175.27004067,3203.43075248,-27.8155025205,151.817873494,132.250520496,7.08798394706,3201.72844582,7.92660325056,131.127030981,0.0766198051162,3191.76619585,130.473071181,18847,2,1,20.3827827765,-1.52954418686,278.734297982,301.13287896,272.224057101,266.373848429,259.139788403,252.591801186,246.933813091,240.1621297,232.536477854,224.811205887,217.301262602,210.010154442,204.895586546,278.655572828,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,,,28702.4,7.07648,20.4033591086,-1.49703284596,278.642128727,130.648801835
1506645121,60,795,19,0.00388601036269,252,174.925269622,3317.66278287,-27.8337452148,151.819610584,133.765332788,7.92929206932,3319.87036217,7.91589556621,132.187543632,0.0593566784732,3305.6218754,132.145525664,18847,2,1,20.6846358448,-1.19681588987,277.824177126,301.098838072,271.58170591,265.615659677,258.288446693,251.924650942,246.114030107,239.228761298,231.713431943,223.972066096,216.415726446,209.257685842,204.463011863,277.712864232,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,,,28802.4,6.78232,20.7061378989,-1.16344141389,277.730099645,132.375326199
1506645136,75,795,19,0.00388601036269,252,175.159685373,3441.18036615,-27.8516953097,151.821332705,134.130502286,7.80288,3441.56134995,8.36161531383,132.830567443,0.0260572826918,3426.0205561,132.82785685,18847,2,1,21.0038514533,-0.846149490428,276.873281305,301.06535274,270.912841384,264.823258657,257.448851611,251.227204717,245.258468935,238.25776764,230.778739955,223.103451363,215.497084866,208.476879598,204.014239854,276.753324719,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,,,28896.8,6.507,21.0312053395,-0.80440332973,276.756263145,133.202387733
1506645151,90,795,19,0.00388601036269,252,174.905703426,3575.76892727,-27.8698499635,151.823102926,133.252913089,9.51334089697,3570.42645439,8.73923505892,133.019327103,0.00499542728834,3555.6060716,132.826228433,18847,2,1,21.3481719228,-0.470191921459,275.862766569,301.031381752,270.205851803,263.98107687,256.584255869,250.485760029,244.350437246,237.230416866,229.715017422,222.189345113,214.528354162,207.653338398,203.54109095,275.749838819,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,,,28995.5,6.12469,21.3848794891,-0.415088006889,275.709173289,132.655859125
1506645166,105,795,19,0.00388601036269,252,174.68545433,3699.62714511,-27.8875131658,151.824910485,133.299578095,7.95044542612,3701.34600641,8.70416744589,133.0890221,0.00246756855009,3688.28528481,132.984112377,18847,2,1,21.391760512,0.00650563007616,275.013276598,300.998467847,269.495282817,262.951933962,255.714266345,249.736398333,243.434191558,236.196952232,228.646966744,221.275051992,213.557553407,206.986772673,203.06716506,274.937892859,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,,,29104.7,5.56676,21.3766970063,0.0480594280314,274.947807874,133.081325063
1506645181,120,795,19,0.00388601036269,252,176.143062421,3827.12359705,-27.9055145679,151.826749652,132.513108705,8.45312,3832.35788935,8.75616149771,132.985389562,-0.0183726203778,3814.88513572,133.323884255,18847,2,1,21.3326185875,0.492084272486,274.272797639,300.964748826,268.829056443,261.953685384,254.897255142,249.029542943,242.570873085,235.226276113,227.646375628,220.370985532,212.651223364,206.464443642,202.625949814,274.173461201,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,,,29212,4.8766,21.3163532017,0.53648457597,274.203200171,133.327605322
1506645196,135,795,19,0.00388601036269,252,179.684611354,3958.50171982,-27.9215201685,151.827304547,129.642094278,9.10336,3962.28790343,8.49259126887,132.620610071,-0.0246610701033,3948.33529559,132.501496572,18847,2,1,21.2514836611,0.996442740557,273.507212766,300.934088344,267.993088602,260.915903891,254.052131126,248.295868654,241.676397323,234.222913195,226.612864866,219.271206369,211.715273659,205.924623933,202.168941651,273.429096271,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,26275.2,4.82497,29320.6,4.19304,21.2379929787,1.03294098098,273.450282628,132.275097419
